run_id,dataset,runtime,model,perturbation,seed,task,phenotype,n_gold,n_pred,pred_coverage,n_changed_vs_clean,macro_avg,yesno_acc,factoid_em,factoid_f1,list_f1,summary_rougeL,list_precision,list_recall
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,clean,13,bioasq,ALL,24,24,1.0,0,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,clean,42,bioasq,ALL,24,24,1.0,0,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,clean,97,bioasq,ALL,24,24,1.0,0,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,13,bioasq,ALL,24,24,1.0,6,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,42,bioasq,ALL,24,24,1.0,6,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,97,bioasq,ALL,24,24,1.0,6,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,13,bioasq,ALL,24,24,1.0,24,0.11461412998464311,0.0,0.0,0.0689709595959596,0.0,0.38948556034261284,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,42,bioasq,ALL,24,24,1.0,24,0.143616390169699,0.0,0.0,0.0689709595959596,0.047619047619047616,0.4578755534637888,0.047619047619047616,0.047619047619047616
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,97,bioasq,ALL,24,24,1.0,24,0.16199153354484236,0.0,0.0,0.09461198523698523,0.11904761904761905,0.4343065298947652,0.11904761904761905,0.11904761904761905
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise,42,bioasq,ALL,24,24,1.0,24,0.15060292215623097,0.0,0.0,0.0689709595959596,0.04761904761904762,0.4858216814099167,0.041666666666666664,0.05555555555555555
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,13,bioasq,ALL,24,24,1.0,24,0.13737457961754362,0.0,0.0,0.07402146464646464,0.13333333333333333,0.3421435204903765,0.125,0.14285714285714285
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,42,bioasq,ALL,24,24,1.0,24,0.15213800987552922,0.0,0.0,0.0689709595959596,0.18095238095238095,0.35862869895377636,0.16666666666666666,0.1984126984126984
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,97,bioasq,ALL,24,24,1.0,24,0.17752391782722665,0.0,0.0,0.09927398989898989,0.125,0.4858216814099167,0.1111111111111111,0.14285714285714285
bioasq_TINY_mps_fp32_lexical_noise_medium_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_medium,42,bioasq,ALL,24,24,1.0,24,0.15598012921883128,0.0,0.0,0.0927804834054834,0.13333333333333333,0.39780670013650843,0.125,0.14285714285714285
bioasq_TINY_mps_fp32_lexical_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise,42,bioasq,ALL,24,24,1.0,23,0.15643800467670674,0.0,0.0,0.09461198523698523,0.13333333333333333,0.39780670013650843,0.125,0.14285714285714285
bioasq_TINY_mps_fp32_shuffle_snippets_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,shuffle_snippets,42,bioasq,ALL,24,24,1.0,18,0.13834568591765845,0.0,0.0,0.06592037709622456,0.125,0.36246236657440917,0.1111111111111111,0.14285714285714285
